date,ranking,name,country,age,points,tournamentsPlayed,playerUrl
1974-12-20,21,Tom Gorman,USA,28,0,0,https://www.atptour.com/en/players/tom-gorman/g078/overview
1974-12-20,22,Eddie Dibbs,USA,23,0,0,https://www.atptour.com/en/players/eddie-dibbs/d026/overview
1974-12-20,23,Cliff Richey,USA,27,0,0,https://www.atptour.com/en/players/cliff-richey/r071/overview
1974-12-20,24,Thomaz Koch,BRA,29,0,0,https://www.atptour.com/en/players/thomaz-koch/k036/overview
1974-12-20,25,Onny Parun,NZL,27,0,0,https://www.atptour.com/en/players/onny-parun/p070/overview
1974-12-20,26,John Alexander,AUS,23,0,0,https://www.atptour.com/en/players/john-alexander/a014/overview
1974-12-20,27,Tony Roche,AUS,29,0,0,https://www.atptour.com/en/players/tony-roche/r073/overview
1974-12-20,28,Andrew Pattison,ZIM,25,0,0,https://www.atptour.com/en/players/andrew-pattison/p074/overview
1974-12-20,29,Ross Case,AUS,23,0,0,https://www.atptour.com/en/players/ross-case/c020/overview
1974-12-20,30,Mark Cox,GBR,31,0,0,https://www.atptour.com/en/players/mark-cox/c090/overview
1974-12-20,31,Jaime Fillol Sr.,CHI,28,0,0,https://www.atptour.com/en/players/jaime-fillol-sr./f024/overview
1974-12-20,32,Nikola Pilic,CRO,35,0,0,https://www.atptour.com/en/players/nikola-pilic/p080/overview
1974-12-20,33,Brian Gottfried,USA,22,0,0,https://www.atptour.com/en/players/brian-gottfried/g029/overview
1974-12-20,34,Adriano Panatta,ITA,24,0,0,https://www.atptour.com/en/players/adriano-panatta/p059/overview
1974-12-20,35,Juan Gisbert Sr,ESP,32,0,0,https://www.atptour.com/en/players/juan-gisbert-sr/g076/overview
1974-12-20,36,Billy Martin,USA,17,0,0,https://www.atptour.com/en/players/billy-martin/m138/overview
1974-12-20,37,Ismail El Shafei,EGY,27,0,0,https://www.atptour.com/en/players/ismail-el-shafei/e038/overview
1974-12-20,38,Balazs Taroczy,HUN,20,0,0,https://www.atptour.com/en/players/balazs-taroczy/t007/overview
1974-12-20,39,Vijay Amritraj,IND,21,0,0,https://www.atptour.com/en/players/vijay-amritraj/a022/overview
1974-12-20,40,Jeff Borowiak,USA,25,0,0,https://www.atptour.com/en/players/jeff-borowiak/b059/overview
1974-12-20,41,Phil Dent,AUS,24,0,0,https://www.atptour.com/en/players/phil-dent/d074/overview
1974-12-20,42,Roger Taylor,GBR,33,0,0,https://www.atptour.com/en/players/roger-taylor/t050/overview
1974-12-20,43,Jiri Hrebec,CZE,24,0,0,https://www.atptour.com/en/players/jiri-hrebec/h066/overview
1974-12-20,44,Hans-Jurgen Pohmann,GER,27,0,0,https://www.atptour.com/en/players/hans-jurgen-pohmann/p082/overview
1974-12-20,45,Vitas Gerulaitis,USA,20,0,0,https://www.atptour.com/en/players/vitas-gerulaitis/g008/overview
1974-12-20,46,Frew McMillan,RSA,32,0,0,https://www.atptour.com/en/players/frew-mcmillan/m111/overview
1974-12-20,47,Robert Lutz,USA,27,0,0,https://www.atptour.com/en/players/robert-lutz/l045/overview
1974-12-20,48,Kim Warwick,AUS,22,0,0,https://www.atptour.com/en/players/kim-warwick/w006/overview
1974-12-20,49,Allan Stone,AUS,29,0,0,https://www.atptour.com/en/players/allan-stone/s148/overview
1974-12-20,50,Paolo Bertolucci,ITA,23,0,0,https://www.atptour.com/en/players/paolo-bertolucci/b129/overview
1974-12-20,51,Charlie Pasarell,USA,30,0,0,https://www.atptour.com/en/players/charlie-pasarell/p072/overview
1974-12-20,52,John Yuill,RSA,26,0,0,https://www.atptour.com/en/players/john-yuill/y008/overview
1974-12-20,53,Geoff Masters,AUS,24,0,0,https://www.atptour.com/en/players/geoff-masters/m139/overview
1974-12-20,54,Jurgen Fassbender,GER,26,0,0,https://www.atptour.com/en/players/jurgen-fassbender/f068/overview
1974-12-20,55,Sandy Mayer,USA,22,0,0,https://www.atptour.com/en/players/sandy-mayer/m039/overview
1974-12-20,55,Buster C. Mottram,GBR,19,0,0,https://www.atptour.com/en/players/buster-c.-mottram/m154/overview
1974-12-20,57,Corrado Barazzutti,ITA,21,0,0,https://www.atptour.com/en/players/corrado-barazzutti/b007/overview
1974-12-20,58,Brian Fairlie,NZL,26,0,0,https://www.atptour.com/en/players/brian-fairlie/f066/overview
1974-12-20,59,Bob Hewitt,RSA,34,0,0,https://www.atptour.com/en/players/bob-hewitt/h058/overview
1974-12-20,60,Marcelo Lara,MEX,27,0,0,https://www.atptour.com/en/players/marcelo-lara/l057/overview
1974-12-20,61,Erik Van Dillen,USA,23,0,0,https://www.atptour.com/en/players/erik-van-dillen/v049/overview
1974-12-20,62,Robert Maud,RSA,28,0,0,https://www.atptour.com/en/players/robert-maud/m140/overview
